from,to
oriolllado,BoteyConxita
oriolllado,daniel_gracia
oriolllado,fduranv
oriolllado,margabo19171
oriolllado,guijarroruben
oriolllado,CristinaAgueraG
oriolllado,soniaegea1
oriolllado,laiasabater
oriolllado,Alexpastorbdn
oriolllado,joseptellez
oriolllado,JuanFernandezB
oriolllado,mariadolorsa
oriolllado,Alexmanyas
oriolllado,FrancescRibot
oriolllado,agnesrotger
daniel_gracia,CristinaAgueraG
daniel_gracia,soniaegea1
daniel_gracia,rosabertran
daniel_gracia,Albiol_XG
daniel_gracia,JuanFernandezB
fduranv,joanwalterfibla
fduranv,CristinaAgueraG
fduranv,CsBDNJuanMiguel
fduranv,margabo19171
fduranv,rosabertran
fduranv,subiranajordi
fduranv,BoteyConxita
fduranv,soniaegea1
fduranv,TereGonzalez13
fduranv,Alexpastorbdn
fduranv,JuanFernandezB
fduranv,Alexmanyas
fduranv,guijarroruben
fduranv,mariadolorsa
fduranv,daniel_gracia
fduranv,FrancescRibot
fduranv,agnesrotger
fduranv,oriolllado
fduranv,laiasabater
fduranv,joseptellez
BoteyConxita,Alexmanyas
BoteyConxita,subiranajordi
BoteyConxita,TereGonzalez13
BoteyConxita,FrancescRibot
BoteyConxita,fduranv
BoteyConxita,mariadolorsa
BoteyConxita,guijarroruben
BoteyConxita,agnesrotger
BoteyConxita,joseptellez
BoteyConxita,oriolllado
BoteyConxita,Alexpastorbdn
rosabertran,joanwalterfibla
rosabertran,CristinaAgueraG
rosabertran,fduranv
rosabertran,soniaegea1
rosabertran,JuanFernandezB
rosabertran,Albiol_XG
rosabertran,daniel_gracia
guijarroruben,agnesrotger
guijarroruben,joseptellez
guijarroruben,margabo19171
guijarroruben,TereGonzalez13
guijarroruben,CristinaAgueraG
guijarroruben,subiranajordi
guijarroruben,BoteyConxita
guijarroruben,Alexpastorbdn
CristinaAgueraG,CsBDNJuanMiguel
CristinaAgueraG,TereGonzalez13
CristinaAgueraG,fduranv
CristinaAgueraG,oriolllado
CristinaAgueraG,joanwalterfibla
CristinaAgueraG,Alexpastorbdn
CristinaAgueraG,guijarroruben
CristinaAgueraG,rosabertran
CristinaAgueraG,soniaegea1
CristinaAgueraG,subiranajordi
CristinaAgueraG,daniel_gracia
CristinaAgueraG,Albiol_XG
JuanFernandezB,joseptellez
JuanFernandezB,joanwalterfibla
JuanFernandezB,CsBDNJuanMiguel
JuanFernandezB,agnesrotger
JuanFernandezB,subiranajordi
JuanFernandezB,Alexpastorbdn
JuanFernandezB,soniaegea1
JuanFernandezB,rosabertran
JuanFernandezB,TereGonzalez13
JuanFernandezB,fduranv
JuanFernandezB,oriolllado
JuanFernandezB,Albiol_XG
JuanFernandezB,daniel_gracia
Alexpastorbdn,Albiol_XG
Alexpastorbdn,agnesrotger
Alexpastorbdn,CsBDNJuanMiguel
Alexpastorbdn,joseptellez
Alexpastorbdn,soniaegea1
Alexpastorbdn,CristinaAgueraG
Alexpastorbdn,oriolllado
Alexpastorbdn,subiranajordi
Alexpastorbdn,BoteyConxita
Alexpastorbdn,daniel_gracia
Alexpastorbdn,JuanFernandezB
Alexpastorbdn,Alexmanyas
Alexpastorbdn,fduranv
Alexpastorbdn,TereGonzalez13
Alexpastorbdn,guijarroruben
joanwalterfibla,margabo19171
joanwalterfibla,agnesrotger
joanwalterfibla,BoteyConxita
joanwalterfibla,TereGonzalez13
joanwalterfibla,Alexmanyas
joanwalterfibla,CsBDNJuanMiguel
joanwalterfibla,laiasabater
joanwalterfibla,FrancescRibot
joanwalterfibla,mariadolorsa
joanwalterfibla,joseptellez
joanwalterfibla,guijarroruben
joanwalterfibla,Alexpastorbdn
joanwalterfibla,subiranajordi
joanwalterfibla,CristinaAgueraG
joanwalterfibla,Albiol_XG
joanwalterfibla,rosabertran
joanwalterfibla,soniaegea1
joanwalterfibla,JuanFernandezB
joanwalterfibla,daniel_gracia
CsBDNJuanMiguel,oriolllado
CsBDNJuanMiguel,CristinaAgueraG
CsBDNJuanMiguel,joanwalterfibla
CsBDNJuanMiguel,TereGonzalez13
CsBDNJuanMiguel,BoteyConxita
CsBDNJuanMiguel,rosabertran
CsBDNJuanMiguel,soniaegea1
CsBDNJuanMiguel,Alexpastorbdn
CsBDNJuanMiguel,daniel_gracia
CsBDNJuanMiguel,JuanFernandezB
CsBDNJuanMiguel,subiranajordi
CsBDNJuanMiguel,mariadolorsa
CsBDNJuanMiguel,Alexmanyas
CsBDNJuanMiguel,guijarroruben
CsBDNJuanMiguel,Albiol_XG
FrancescRibot,Albiol_XG
FrancescRibot,subiranajordi
FrancescRibot,Alexmanyas
FrancescRibot,BoteyConxita
FrancescRibot,daniel_gracia
FrancescRibot,mariadolorsa
FrancescRibot,agnesrotger
FrancescRibot,fduranv
FrancescRibot,oriolllado
subiranajordi,slerma93
subiranajordi,laiasabater
subiranajordi,agnesrotger
subiranajordi,joanwalterfibla
subiranajordi,margabo19171
subiranajordi,CsBDNJuanMiguel
subiranajordi,mariadolorsa
subiranajordi,soniaegea1
subiranajordi,joseptellez
subiranajordi,guijarroruben
subiranajordi,BoteyConxita
subiranajordi,Alexmanyas
subiranajordi,CristinaAgueraG
subiranajordi,oriolllado
subiranajordi,FrancescRibot
subiranajordi,JuanFernandezB
subiranajordi,Albiol_XG
subiranajordi,daniel_gracia
subiranajordi,Alexpastorbdn
subiranajordi,rosabertran
subiranajordi,fduranv
subiranajordi,TereGonzalez13
TereGonzalez13,margabo19171
TereGonzalez13,joanwalterfibla
TereGonzalez13,joseptellez
TereGonzalez13,CristinaAgueraG
TereGonzalez13,CsBDNJuanMiguel
TereGonzalez13,laiasabater
TereGonzalez13,BoteyConxita
TereGonzalez13,soniaegea1
TereGonzalez13,subiranajordi
TereGonzalez13,rosabertran
TereGonzalez13,FrancescRibot
TereGonzalez13,mariadolorsa
TereGonzalez13,Albiol_XG
TereGonzalez13,JuanFernandezB
TereGonzalez13,Alexpastorbdn
TereGonzalez13,agnesrotger
TereGonzalez13,guijarroruben
TereGonzalez13,daniel_gracia
TereGonzalez13,Alexmanyas
TereGonzalez13,oriolllado
TereGonzalez13,fduranv
laiasabater,Albiol_XG
laiasabater,mariadolorsa
laiasabater,joseptellez
laiasabater,fduranv
slerma93,guijarroruben
slerma93,Alexpastorbdn
slerma93,rosabertran
slerma93,Albiol_XG
slerma93,subiranajordi
slerma93,JuanFernandezB
slerma93,daniel_gracia
Alexmanyas,margabo19171
Alexmanyas,mariadolorsa
Alexmanyas,agnesrotger
Alexmanyas,oriolllado
margabo19171,agnesrotger
margabo19171,laiasabater
margabo19171,oriolllado
margabo19171,BoteyConxita
margabo19171,Alexpastorbdn
margabo19171,daniel_gracia
margabo19171,TereGonzalez13
margabo19171,Alexmanyas
margabo19171,subiranajordi
margabo19171,rosabertran
margabo19171,JuanFernandezB
margabo19171,mariadolorsa
margabo19171,joseptellez
margabo19171,guijarroruben
margabo19171,fduranv
mariadolorsa,rosabertran
mariadolorsa,subiranajordi
mariadolorsa,daniel_gracia
mariadolorsa,joanwalterfibla
mariadolorsa,Alexpastorbdn
mariadolorsa,margabo19171
mariadolorsa,JuanFernandezB
mariadolorsa,guijarroruben
mariadolorsa,BoteyConxita
mariadolorsa,CsBDNJuanMiguel
mariadolorsa,laiasabater
mariadolorsa,Alexmanyas
mariadolorsa,agnesrotger
mariadolorsa,FrancescRibot
mariadolorsa,fduranv
mariadolorsa,joseptellez
mariadolorsa,oriolllado
agnesrotger,subiranajordi
agnesrotger,CsBDNJuanMiguel
agnesrotger,margabo19171
agnesrotger,guijarroruben
agnesrotger,Alexpastorbdn
agnesrotger,TereGonzalez13
agnesrotger,BoteyConxita
agnesrotger,laiasabater
agnesrotger,joseptellez
agnesrotger,JuanFernandezB
agnesrotger,Alexmanyas
agnesrotger,Albiol_XG
agnesrotger,FrancescRibot
agnesrotger,mariadolorsa
agnesrotger,fduranv
agnesrotger,oriolllado
Albiol_XG,Alexpastorbdn
Albiol_XG,joanwalterfibla
Albiol_XG,CsBDNJuanMiguel
Albiol_XG,soniaegea1
Albiol_XG,subiranajordi
Albiol_XG,CristinaAgueraG
Albiol_XG,rosabertran
Albiol_XG,daniel_gracia
Albiol_XG,JuanFernandezB
soniaegea1,joseptellez
soniaegea1,agnesrotger
soniaegea1,fduranv
soniaegea1,joanwalterfibla
