"","fullName","country","politicalGroup","id","nationalPoliticalGroup"
"1","Lars ADAKTUSSON","Sweden","Group of the European People's Party (Christian Democrats)","124990","Kristdemokraterna"
"2","Asim ADEMOV","Bulgaria","Group of the European People's Party (Christian Democrats)","189525","Citizens for European Development of Bulgaria"
"3","Isabella ADINOLFI","Italy","Europe of Freedom and Direct Democracy Group","124831","Movimento 5 Stelle"
"4","Marco AFFRONTE","Italy","Group of the Greens/European Free Alliance","124797","Independent"
"5","Laura AGEA","Italy","Europe of Freedom and Direct Democracy Group","124811","Movimento 5 Stelle"
"6","John Stuart AGNEW","United Kingdom","Europe of Freedom and Direct Democracy Group","96897","United Kingdom Independence Party"
"7","Clara Eugenia AGUILERA GARCÍA","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125045","Partido Socialista Obrero Español"
"8","Daniela AIUTO","Italy","Europe of Freedom and Direct Democracy Group","124842","Movimento 5 Stelle"
"9","Tim AKER","United Kingdom","Europe of Freedom and Direct Democracy Group","99650","United Kingdom Independence Party"
"10","Marina ALBIOL GUZMÁN","Spain","Confederal Group of the European United Left - Nordic Green Left","125048","Izquierda Unida"
"11","Jan Philipp ALBRECHT","Germany","Group of the Greens/European Free Alliance","96736","Bündnis 90/Die Grünen"
"12","Nedzhmi ALI","Bulgaria","Group of the Alliance of Liberals and Democrats for Europe","34250","Movement for Rights and Freedoms"
"13","Michèle ALLIOT-MARIE","France","Group of the European People's Party (Christian Democrats)","1179","Les Républicains"
"14","Lucy ANDERSON","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124949","Labour Party"
"15","Martina ANDERSON","United Kingdom","Confederal Group of the European United Left - Nordic Green Left","113959","Sinn Fein"
"16","Max ANDERSSON","Sweden","Group of the Greens/European Free Alliance","124994","Miljöpartiet de gröna"
"17","Eric ANDRIEU","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","113892","Parti socialiste"
"18","Laima Liucija ANDRIKIENĖ","Lithuania","Group of the European People's Party (Christian Democrats)","28276","Tėvynės sąjunga-Lietuvos krikščionys demokratai"
"19","Nikos ANDROULAKIS","Greece","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125110","Panhellenic Socialist Movement - Olive Tree"
"20","Gerolf ANNEMANS","Belgium","Europe of Nations and Freedom Group","124973","Vlaams Belang"
"21","Maria ARENA","Belgium","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124936","Parti Socialiste"
"22","Pascal ARIMONT","Belgium","Group of the European People's Party (Christian Democrats)","24922","Christlich Soziale Partei"
"23","Marie-Christine ARNAUTU","France","Europe of Nations and Freedom Group","124748","Rassemblement national"
"24","Jonathan ARNOTT","United Kingdom","Europe of Freedom and Direct Democracy Group","124958","United Kingdom Independence Party"
"25","Jean ARTHUIS","France","Group of the Alliance of Liberals and Democrats for Europe","124773","Union des Démocrates et Indépendants"
"26","Richard ASHWORTH","United Kingdom","Group of the European People's Party (Christian Democrats)","28132","Conservative Party"
"27","Francisco ASSIS","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","28307","Partido Socialista"
"28","Janice ATKINSON","United Kingdom","Europe of Nations and Freedom Group","124938","-"
"29","Margrete AUKEN","Denmark","Group of the Greens/European Free Alliance","28161","Socialistisk Folkeparti"
"30","Petras AUŠTREVIČIUS","Lithuania","Group of the Alliance of Liberals and Democrats for Europe","124766","Lietuvos Respublikos liberalų sąjūdis"
"31","Inés AYALA SENDER","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","28292","Partido Socialista Obrero Español"
"32","Pilar AYUSO","Spain","Group of the European People's Party (Christian Democrats)","4319","Partido Popular"
"33","Johannes Cornelis van BAALEN","Netherlands","Group of the Alliance of Liberals and Democrats for Europe","96937","Volkspartij voor Vrijheid en Democratie"
"34","Georges BACH","Luxembourg","Group of the European People's Party (Christian Democrats)","97293","Parti chrétien social luxembourgeois"
"35","Guillaume BALAS","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124744","Génération.s, le mouvement"
"36","Zigmantas BALČYTIS","Lithuania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96680","Lietuvos socialdemokratų partija"
"37","Zoltán BALCZÓ","Hungary","Non-attached Members","96877","Jobbik Magyarországért Mozgalom"
"38","Burkhard BALZ","Germany","Group of the European People's Party (Christian Democrats)","96997","Christlich Demokratische Union Deutschlands"
"39","Nikolay BAREKOV","Bulgaria","European Conservatives and Reformists Group","124871","Reload Bulgaria Party"
"40","Amjad BASHIR","United Kingdom","European Conservatives and Reformists Group","124956","Conservative Party"
"41","Gerard BATTEN","United Kingdom","Europe of Freedom and Direct Democracy Group","28497","United Kingdom Independence Party"
"42","Nicolas BAY","France","Europe of Nations and Freedom Group","124760","Rassemblement national"
