from,to
Evelyn_Regner,kvanbrempt
Evelyn_Regner,vilimsky
Evelyn_Regner,ellyesse
Evelyn_Regner,JeppeKofod
Evelyn_Regner,huguesbayet
Evelyn_Regner,Miriamdalli
Evelyn_Regner,SantAlfred
Evelyn_Regner,LindaMcAvanMEP
Evelyn_Regner,Cofferati
Evelyn_Regner,graswanderhainz
Evelyn_Regner,VRoziere
Evelyn_Regner,AnaGomesMEP
Evelyn_Regner,sylvieguillaume
Evelyn_Regner,PaulRuebig
Evelyn_Regner,davidmartinmep
Evelyn_Regner,marctarabella
Evelyn_Regner,AngelikaMlinar
Evelyn_Regner,paultang
Evelyn_Regner,a_jongerius
Evelyn_Regner,Mariearenaps
Evelyn_Regner,SergeiStanishev
Evelyn_Regner,sionsimon
Evelyn_Regner,Claude_Moraes
Evelyn_Regner,RCorbettMEP
Evelyn_Regner,PeterSimonMEP
Evelyn_Regner,KaufmannSylvia
Evelyn_Regner,ConstanzeKrehl
Evelyn_Regner,westphalkerstin
Evelyn_Regner,thaendel
Evelyn_Regner,monikavana
Evelyn_Regner,ClareMoodyMEP
Evelyn_Regner,fjavilopez
Evelyn_Regner,MarleneMizzi
Evelyn_Regner,TheresaMEP
Evelyn_Regner,JytteGuteland
Evelyn_Regner,maritaulvskog
Evelyn_Regner,olleludvigsson
Evelyn_Regner,PaulBrannenNE
Evelyn_Regner,AnnaHedh
Evelyn_Regner,Jude_KD
Evelyn_Regner,isabel_thomaseu
Evelyn_Regner,PervencheBeres
Evelyn_Regner,alessiamosca
Evelyn_Regner,BalasGuillaume
Evelyn_Regner,UdoBullmann
Evelyn_Regner,knufleckenstein
Evelyn_Regner,IsmailErtug
Evelyn_Regner,BirgitSippelMEP
Evelyn_Regner,EuropaJens
Evelyn_Regner,tfajon
Evelyn_Regner,SchaldemoseMEP
Evelyn_Regner,C_Stihler_MEP
Evelyn_Regner,lidiageringer
Evelyn_Regner,EugenAFreund
Evelyn_Regner,michelreimon
Evelyn_Regner,karinkadenbach
Evelyn_Regner,berndlange
Evelyn_Regner,othmar_karas
Evelyn_Regner,VivianeRedingEU
Evelyn_Regner,derekvaughan
Evelyn_Regner,UlrikeRodust
Evelyn_Regner,weidenholzer
kmujazdowski,JanOlbrycht
kmujazdowski,r_czarnecki
kmujazdowski,AKRajewicz
kmujazdowski,MichalBoni
kmujazdowski,beatagosiewska
kmujazdowski,BLiberadzki
kmujazdowski,BarbaraKudrycka
kmujazdowski,marijana_petir
kmujazdowski,bzdrojewski
kmujazdowski,ZbigniewKuzmiuk
kmujazdowski,GrzybAndrzej
kmujazdowski,ZdzKrasnodebski
kmujazdowski,j_wisniewska
kmujazdowski,JSaryuszWolski
kmujazdowski,marekjurek
SkaKeller,marcoaffronte
SkaKeller,helmutscholzmep
SkaKeller,jeroen_lenaers
SkaKeller,mmatias_
SkaKeller,RobertaMetsola
SkaKeller,FMCastaldo
SkaKeller,ignaziocorrao
SkaKeller,SteliosKoul
SkaKeller,LolaPodemos
SkaKeller,monikavana
SkaKeller,Mariearenaps
SkaKeller,manfredweber
SkaKeller,berndlange
SkaKeller,LinneaEngstrom
SkaKeller,ellyesse
SkaKeller,Jude_KD
SkaKeller,javorbenedek
SkaKeller,DavorSkrlec
SkaKeller,guyverhofstadt
SkaKeller,MartinSonneborn
SkaKeller,BartStaes
SkaKeller,mollymep
SkaKeller,ph_lamberts
SkaKeller,PDurandOfficiel
SkaKeller,davidmcallister
SkaKeller,fmarcellesi
SkaKeller,michelreimon
SkaKeller,ernesturtasun
SkaKeller,RebHarms
SkaKeller,Senficon
SkaKeller,AnnaMariaCB
SkaKeller,blochbihler
SkaKeller,CarlosCoelhoPE
SkaKeller,BasEickhout
SkaKeller,TerryReintke
SkaKeller,greenkeithmep
SkaKeller,GreenJeanMEP
SkaKeller,davidmartinmep
SkaKeller,HeidiHautala
SkaKeller,nadjahirsch
SkaKeller,EvaJoly
SkaKeller,claudeturmes
SkaKeller,yjadot
SkaKeller,josebove
SkaKeller,indrektarand
SkaKeller,MargreteAuken
SkaKeller,MartinHaeusling
SkaKeller,JerzyBuzek
SkaKeller,SophieintVeld
SkaKeller,judithineuropa
SkaKeller,caspary
SkaKeller,bueti
SkaKeller,helgatruepel
SkaKeller,JanAlbrecht
SkaKeller,sven_giegold
SkaKeller,JakopDalunde
lilianamep,DemPapadakis
lilianamep,ClaudiaTapardel
lilianamep,PavelEmilian
lilianamep,AnnaMariaCB
lilianamep,wajidkhanmep
lilianamep,NiedermullerMEP
lilianamep,mcvergiat
lilianamep,manuel___santos
lilianamep,BiljanaBorzan
lilianamep,MomchilNekov
lilianamep,younousomarjee
lilianamep,AntonioPanzeri
lilianamep,SorayaPostFi
lilianamep,EGardiazabal
lilianamep,IratxeGarper
lilianamep,elenavalenciano
lilianamep,isabel_thomaseu
lilianamep,rl_valcarcel
lilianamep,luigi_morgano
lilianamep,guyverhofstadt
lilianamep,PeterSimonMEP
lilianamep,SergeiStanishev
lilianamep,knufleckenstein
lilianamep,beatrizbecerrab
lilianamep,TheodorStolojan
lilianamep,TPicula
lilianamep,MarleneMizzi
lilianamep,westphalkerstin
lilianamep,Stefan_Eck_MEP
lilianamep,brandobenifei
lilianamep,ArneLietz
lilianamep,MarietjeSchaake
lilianamep,CarlosCoelhoPE
lilianamep,SilviaCostaEU
lilianamep,JMFernandesEU
lilianamep,victorbostinaru
lilianamep,sylvieguillaume
lilianamep,catherinemep
lilianamep,josefariamep
lilianamep,RodriguezPinero
lilianamep,julie4nw
lilianamep,derekvaughan
lilianamep,mjrodrigueseu
lilianamep,marctarabella
lilianamep,mmatias_
lilianamep,ConstanzeKrehl
lilianamep,tfajon
lilianamep,AnaGomesMEP
lilianamep,czorrinho
lilianamep,VivianeRedingEU
porchezio,Ale_Mussolini_
RebHarms,peterliese
RebHarms,KatiPiri
RebHarms,DariuszRosati
RebHarms,NeenaGmep
RebHarms,StevensHelga
RebHarms,AlynSmith
RebHarms,EduardKukan
RebHarms,AnaGomesMEP
RebHarms,IsmailErtug
RebHarms,yjadot
RebHarms,berndlange
RebHarms,telicka
RebHarms,DavorSkrlec
RebHarms,marctarabella
RebHarms,spietikainen
RebHarms,LinneaEngstrom
RebHarms,RCorbettMEP
RebHarms,petras_petras
RebHarms,MepMCramer
RebHarms,elmarbrok_mep
RebHarms,javorbenedek
RebHarms,judithineuropa
RebHarms,ernesturtasun
RebHarms,Pabriks
RebHarms,tamburrano
RebHarms,ph_lamberts
RebHarms,SyedKamall
RebHarms,manfredweber
RebHarms,gabizimmermep
RebHarms,mollymep
RebHarms,davidmcallister
RebHarms,Senficon
RebHarms,KaufmannSylvia
RebHarms,michelreimon
RebHarms,HeidiHautala
RebHarms,MarietjeSchaake
RebHarms,JSaryuszWolski
RebHarms,PDurandOfficiel
RebHarms,MicheleRivasi
RebHarms,TerryReintke
RebHarms,josebove
RebHarms,guyverhofstadt
RebHarms,BasEickhout
RebHarms,sven_giegold
RebHarms,blochbihler
RebHarms,MartinHaeusling
RebHarms,helgatruepel
RebHarms,SkaKeller
RebHarms,JanAlbrecht
RebHarms,VivianeRedingEU
RebHarms,bueti
miltos_kyrkos,SkaKeller
miltos_kyrkos,jfostermep
miltos_kyrkos,KyllonenMerja
miltos_kyrkos,telicka
miltos_kyrkos,MarianMarinescu
miltos_kyrkos,DeirdreCluneMEP
miltos_kyrkos,MepMCramer
miltos_kyrkos,SebDance
miltos_kyrkos,ceciliawikstrom
miltos_kyrkos,a_jongerius
miltos_kyrkos,paultang
miltos_kyrkos,ArneLietz
miltos_kyrkos,PeterSimonMEP
miltos_kyrkos,renatosoru
miltos_kyrkos,fjavilopez
miltos_kyrkos,OleEU
miltos_kyrkos,zalaboris
miltos_kyrkos,elenavalenciano
miltos_kyrkos,m_giuffrida
miltos_kyrkos,edouardmartinEU
miltos_kyrkos,Jude_KD
miltos_kyrkos,lidiageringer
miltos_kyrkos,cozzolino62
miltos_kyrkos,MarleneMizzi
miltos_kyrkos,OlgaSehnalova
miltos_kyrkos,UlrikeRodust
miltos_kyrkos,ioanmirceapascu
miltos_kyrkos,MassimoPaolucc6
miltos_kyrkos,TheresaMEP
miltos_kyrkos,MariaGrapini
miltos_kyrkos,enricogasbarra
miltos_kyrkos,knufleckenstein
miltos_kyrkos,pepeblancoEP
miltos_kyrkos,januszzemke
miltos_kyrkos,ClaudiaTapardel
miltos_kyrkos,DavidSassoli
miltos_kyrkos,GabrielePreuss
miltos_kyrkos,BLiberadzki
miltos_kyrkos,IsabellaDeMonte
miltos_kyrkos,IAyalaSender
miltos_kyrkos,LucyAndersonMEP
miltos_kyrkos,istvan_ujhelyi
miltos_kyrkos,sylikiotis
miltos_kyrkos,KatiPiri
miltos_kyrkos,TPicula
miltos_kyrkos,theocharouse
miltos_kyrkos,DemPapadakis
miltos_kyrkos,cmavrides
miltos_kyrkos,LefChristoforou
miltos_kyrkos,vozemberg
miltos_kyrkos,SofiaSakorafa
miltos_kyrkos,Notis_Marias
miltos_kyrkos,MariaSpyraki
miltos_kyrkos,GiorgosKyrtsos
miltos_kyrkos,kkuneva
miltos_kyrkos,SteliosKoul
miltos_kyrkos,M_Kefalogiannis
miltos_kyrkos,chrysogonos_k
miltos_kyrkos,androulakisnick
miltos_kyrkos,papadimoulis
miltos_kyrkos,guyverhofstadt
miltos_kyrkos,danieleviotti
miltos_kyrkos,ellyesse
miltos_kyrkos,cdallonnes
miltos_kyrkos,PavelEmilian
miltos_kyrkos,luigi_morgano
miltos_kyrkos,andrejsmamikins
miltos_kyrkos,AnnaHedh
miltos_kyrkos,IratxeGarper
miltos_kyrkos,Miriamdalli
miltos_kyrkos,huguesbayet
miltos_kyrkos,weidenholzer
miltos_kyrkos,SorayaPostFi
miltos_kyrkos,NiedermullerMEP
miltos_kyrkos,JFLopezAguilar
miltos_kyrkos,ckyenge
miltos_kyrkos,KaufmannSylvia
miltos_kyrkos,sylvieguillaume
miltos_kyrkos,AnaGomesMEP
miltos_kyrkos,MonikaFlaBenova
miltos_kyrkos,tfajon
miltos_kyrkos,CaterinaChinnic
miltos_kyrkos,BirgitSippelMEP
miltos_kyrkos,IsmailErtug
miltos_kyrkos,Claude_Moraes
miltos_kyrkos,thadjigeorgiou
miltos_kyrkos,EvaKaili
miltos_kyrkos,grammatikakisg
JanAlbrecht,AlynSmith
JanAlbrecht,RobertaMetsola
JanAlbrecht,StevensHelga
JanAlbrecht,Antonio_Tajani
JanAlbrecht,marcoaffronte
JanAlbrecht,GreenJeanMEP
JanAlbrecht,judithineuropa
JanAlbrecht,PaulRuebig
JanAlbrecht,MichalBoni
JanAlbrecht,kajakallas
JanAlbrecht,EvaMaydell
JanAlbrecht,MargreteAuken
JanAlbrecht,ellyesse
JanAlbrecht,berndlange
JanAlbrecht,Andreas_Schwab
JanAlbrecht,javorbenedek
JanAlbrecht,BirgitSippelMEP
JanAlbrecht,isoltesEP
JanAlbrecht,MepMCramer
JanAlbrecht,Claude_Moraes
JanAlbrecht,bodilvalero
JanAlbrecht,michelreimon
JanAlbrecht,mollymep
JanAlbrecht,MaxAndersson
JanAlbrecht,HeidiHautala
JanAlbrecht,Senficon
JanAlbrecht,josebove
JanAlbrecht,yjadot
JanAlbrecht,PDurandOfficiel
JanAlbrecht,blochbihler
JanAlbrecht,manfredweber
JanAlbrecht,axelvossmdep
JanAlbrecht,RebHarms
JanAlbrecht,SeanKellyMEP
JanAlbrecht,weidenholzer
JanAlbrecht,UlrikeRodust
JanAlbrecht,MarietjeSchaake
JanAlbrecht,guyverhofstadt
JanAlbrecht,MartinHaeusling
JanAlbrecht,TerryReintke
JanAlbrecht,davidmartinmep
JanAlbrecht,ph_lamberts
JanAlbrecht,BasEickhout
JanAlbrecht,KarimaDelli
JanAlbrecht,VivianeRedingEU
JanAlbrecht,JerzyBuzek
JanAlbrecht,caspary
JanAlbrecht,SophieintVeld
JanAlbrecht,bueti
JanAlbrecht,helgatruepel
JanAlbrecht,sven_giegold
JanAlbrecht,SkaKeller
MCArnautu,MarkusFerber
MCArnautu,DavidCoburnUKip
MCArnautu,JSeymourUKIP
MCArnautu,MargotLJParker
MCArnautu,steven_woolfe
MCArnautu,MarcusPretzell
MCArnautu,younousomarjee
MCArnautu,marekjurek
MCArnautu,FMCastaldo
MCArnautu,c_lechevalier14
MCArnautu,DanielaAiuto
MCArnautu,Antonio_Tajani
MCArnautu,cdallonnes
MCArnautu,elenavalenciano
MCArnautu,ph_lamberts
MCArnautu,DominiqueRiquet
MCArnautu,mcboutonnetfn
MCArnautu,MichelDANTIN
MCArnautu,GrosseteteF
MCArnautu,ArnaudDanjean
MCArnautu,emorinchartier
MCArnautu,AlainCadec
